Date,Open,High,Low,Close,Adj Close,Volume
2023-10-17,25814.003906,27948.287109,25791.068359,27021.167969,27021.167969,26371596001
2023-10-18,27023.662109,27051.130859,26651.013672,26876.296875,26876.296875,14066793457
2023-10-19,26874.199219,27316.697266,26742.578125,26882.207031,26882.207031,12074574546
2023-10-20,26886.074219,27258.691406,26748.376953,27129.187500,27129.187500,13647866940
2023-10-21,27141.472656,28431.201172,27054.347656,28007.347656,28007.347656,20320410961
2023-10-22,28007.755859,28577.753906,27817.507813,28229.517578,28229.517578,10889649248
2023-10-23,28229.746094,28494.675781,28028.662109,28324.646484,28324.646484,9865139860
2023-10-24,28463.265625,32214.931641,28434.562500,31008.648438,31008.648438,35954608515
2023-10-25,31000.281250,32901.402344,30820.650391,31996.871094,31996.871094,42410461495
2023-10-26,32010.572266,33210.746094,31843.714844,32653.228516,32653.228516,23900509783
2023-10-27,32654.615234,33033.160156,32067.623047,32333.435547,32333.435547,18390210541
2023-10-28,32333.294922,32434.953125,31636.968750,32080.365234,32080.365234,15532279998
